fips,NAME,5/5/20
1,AL,8437
2,AK,369
4,AZ,9305
5,AR,3525
6,CA,58848
8,CO,17256
9,CT,30621
10,DE,5371
11,DC,5322
12,FL,37431
13,GA,28876
15,HI,615
16,ID,1960
17,IL,65889
18,IN,21033
19,"IA	",10111
20,KS,5603
21,KY,5822
22,LA,29996
23,ME,1226
24,MD,27117
25,MA,70271
26,MI,44333
27,MN,7851
28,MS,8207
29,MO,8919
30,MT,456
31,NE,6446
32,NV,5665
33,NH,2636
34,NJ,130593
35,NM,4138
36,NY,321276
37,"NC	",12283
38,ND,1266
39,OH,20969
40,OK,4127
41,OR,2839
42,PA,53967
44,RI,9933
45,SC,6841
46,SD,2721
47,TN,13615
48,"TX	",34283
49,UT,5449
50,VT,907
51,VA,20256
53,WA,15847
54,WV,1242
55,WI,8566
56,WY,452